e, e_dot, e_int, stamp, 
-0.10021326987638624, 0.04311563685483281, -0.020319178577290833, 1731624618508455013, 
-0.09114614003535815, 0.05446935923355175, -0.018857011220667144, 1731624618608693033, 
-0.08270113628052789, 0.05837377865286116, -0.019183637949509384, 1731624618718448442, 
-0.07509184816868464, 0.05351430622224503, -0.017484133692025623, 1731624618819396759, 
-0.07098683554924934, 0.03904766910426183, -0.014496033891074138, 1731624618908535582, 
-0.06845675880730306, 0.022116964537938582, -0.013543841527305032, 1731624619008789822, 
-0.06463570635435101, 0.021170430649661103, -0.014417086893688338, 1731624619120469181, 
-0.05966260353535313, 0.029313850906499777, -0.013532025787082524, 1731624619219399471, 
-0.05613663079030973, 0.028330251880137602, -0.011309365807650674, 1731624619308504255, 
-0.05460340840879052, 0.0168639837552087, -0.010745011395451096, 1731624619408569273, 
-0.05213170589753213, 0.013349749642591982, -0.011452411775520647, 1731624619519450821, 
-0.04962652282055391, 0.016589618627455376, -0.010988711780975555, 1731624619619401904, 
-0.04622924646346016, 0.019674864780239904, -0.00932927422994139, 1731624619708573736, 
-0.04141205506081702, 0.027381559199122957, -0.00960236058651547, 1731624619829262313, 
-0.03595474610024141, 0.03424833454406251, -0.008688884339375327, 1731624619919475731, 
-0.030999638657289275, 0.034708054678425825, -0.0068348794229076415, 1731624620018478073, 
-0.0267566424390715, 0.03066034553723303, -0.005903795213178082, 1731624620108475747, 
-0.023316781904520134, 0.02560952250923047, -0.005141508994147119, 1731624620208732720, 
-0.020180263431936574, 0.021921263357116416, -0.004941232547595018, 1731624620319478160, 
-0.018250676095086238, 0.016887019364779654, -0.004336183618962875, 1731624620419405285, 
-0.016858475241545268, 0.011072627301304353, -0.003519324051531974, 1731624620510436451, 
-0.015741659894069837, 0.008363387336721336, -0.003265329839552005, 1731624620612047040, 
-0.013654251208999657, 0.010680746775152036, -0.0032297248610157507, 1731624620719912251, 
-0.011473453889118801, 0.014227353349836788, -0.0028022696008224335, 1731624620817746561, 
-0.01028319829599944, 0.011236843043334055, -0.0022270300644644503, 1731624620908585500, 
-0.012060036878236868, -0.001955276630393558, -0.0021636043686262506, 1731624621009687679, 
-0.015209572985418252, -0.01642124896472937, -0.0026439515858465022, 1731624621119804185, 
-0.018454674153822292, -0.021315457585284747, -0.0031587300334080448, 1731624621216934010, 
-0.02031043651492226, -0.017002878431680024, -0.0034168201748532626, 1731624621309716563, 
-0.020930248666687135, -0.008251915042882807, -0.0038189496446239075, 1731624621408855946, 
-0.021865243408470736, -0.005182689645161591, -0.004395359563404614, 1731624621518668067, 
-0.02234909270475338, -0.00472948012688749, -0.004507912044869038, 1731624621616451653, 
-0.021814798205266772, 0.00016815067734654576, -0.004182355248567033, 1731624621708691242, 
-0.02020318127258669, 0.007153038107222305, -0.004134376582534364, 1731624621809145360, 
-0.019644556459667672, 0.007234139151996999, -0.004311580643076649, 1731624621918457865, 
-0.020271587148064096, -0.000228019584924688, -0.004237046973955771, 1731624622020577224, 
-0.019815340865446895, -0.0005692813525974098, -0.003805561706366821, 1731624622109591322, 
-0.018537821313936664, 0.00577921944709144, -0.003681057663812494, 1731624622208947718, 
-0.018697905468439746, 0.0037247846566904976, -0.003994746355089869, 1731624622319652931, 
-0.01924605235594612, -0.002360770140031517, -0.0039632969021656025, 1731624622419456149, 
-0.01948784163478745, -0.0026331205544923484, -0.0036340339245626444, 1731624622509479854, 
-0.019747474856520064, -0.0016714083352464826, -0.0037008607527663213, 1731624622609304343, 
-0.019216926795797118, 0.0009030494633011088, -0.004073251081144972, 1731624622718535188, 
-0.018313682953702504, 0.004779306342725202, -0.004012462520881017, 1731624622819461293, 
-0.018215598890522156, 0.0033377596842498747, -0.0035482140329570703, 1731624622909483458, 
-0.018423539860033866, -0.0003661896877712086, -0.0034817118497851456, 1731624623009535892, 
-0.018185011588265798, 0.00010195767418785806, -0.003819559427937091, 1731624623118491317, 
-0.016738186121638687, 0.005617845794650596, -0.003715704120062009, 1731624623218491732, 
-0.01486511368357668, 0.011066326348963726, -0.0031697002867001746, 1731624623309481945, 
-0.013116554724548202, 0.012072104656968285, -0.0028395588045742946, 1731624623408981538, 
-0.011877592229566414, 0.009958404846700889, -0.00277701828531025, 1731624623518493721, 
-0.010444034006368952, 0.008908402393930833, -0.0024860106968064735, 1731624623619433426, 
-0.009493943656556425, 0.00794549524336663, -0.002025234259435167, 1731624623709460056, 
-0.009339367261750109, 0.00368222248206281, -0.0018514830441100447, 1731624623809151761, 
-0.009110322414571659, 0.001278737473282554, -0.0019470763326624977, 1731624623918496187, 
-0.00886634093063643, 0.0015767544370455984, -0.00191461705214256, 1731624624019425766, 
-0.008639332417413215, 0.0015699666571948139, -0.0017214539898892697, 1731624624112528453, 
-0.008090715777424595, 0.0025854171773727805, -0.0015939451351967798, 1731624624206242562, 
-0.007801571479649105, 0.002792536459213698, -0.0017167956200854404, 1731624624322477365, 
-0.00785724167796209, 0.0007782469982083503, -0.0016560189729310755, 1731624624415428055, 
-0.0077546249461453165, 0.0001564884450126295, -0.0014990569954627896, 1731624624514553854, 
-0.007685911215546959, 0.0005711015413837709, -0.00150705899066334, 1731624624609488493, 
-0.0077630116571403285, -2.7955703316706604e-05, -0.0015774230077311826, 1731624624718499779, 
-0.0070255581875176, 0.0022011767600978636, -0.0015657889072618748, 1731624624818497400, 
-0.006285458446143366, 0.004925177369989875, -0.0013490890584654817, 1731624624910549781, 
-0.005997797436549046, 0.0034258691698951793, -0.0012329255246095218, 1731624625010056372, 
-0.005945360453341042, 0.0011336599760077466, -0.0012635257467834085, 1731624625118496296, 
-0.006028502322400264, -0.00010234961950406074, -0.0012602458748751158, 1731624625220428568, 
-0.005059892279805744, 0.002951560578450992, -0.0010847916530261957, 1731624625309550761, 
-0.004192725835006961, 0.006119254957977678, -0.0009651650309216286, 1731624625409910426, 
-0.003393404204577788, 0.005554960250759855, -0.0008850325127543413, 1731624625519505913, 
-0.002762523105769521, 0.004767342430791466, -0.0007262046886429747, 1731624625620431934, 
-0.0024573906645350974, 0.003120045133475635, -0.0005462060715327416, 1731624625709748305, 
-0.0019468688718156102, 0.002718847446513036, -0.00045323048767204575, 1731624625810153254, 
-0.0015522725288410477, 0.003017060452313499, -0.0004164443196452464, 1731624625919489971, 
-0.0023494316649204094, -0.0013418759770159976, -0.00040810761308481626, 1731624626019490271, 
-0.0032896226639294035, -0.005791167116961186, -0.0004559106246933804, 1731624626109681837, 
-0.003674272291946945, -0.004416135423421785, -0.0005917686120544312, 1731624626210110219, 
-0.004408630232167532, -0.003730025227460428, -0.0007992205385359537, 1731624626320511145, 
-0.004877371142598896, -0.004010329502173171, -0.0009043060845980516, 1731624626419435911, 
-0.004215852107914753, 0.0006425937475092643, -0.0008511875962698373, 1731624626509637978, 
-0.0044190848295282414, 0.0015276210435688498, -0.0008576714195354027, 1731624626609855952, 
-0.004587637588176374, -0.0012392849342054053, -0.0009249564991379327, 1731624626719496466, 
-0.0037518343161688783, 0.002224168377864544, -0.0008955503409220596, 1731624626820432358, 
-0.0026802967669787847, 0.006357802737325298, -0.0006985654511067902, 1731624626909672541, 
-0.002985590307531094, 0.0025541466954592806, -0.0005939263831993885, 1731624627009626652, 
-0.0034091577785901883, -0.0024295367053713455, -0.0006347772383148782, 1731624627119515219, 
-0.003142792397264227, -0.0005240069657771093, -0.0006672575451860786, 1731624627219510179, 
-0.003610436005964779, -0.0006709274245819685, -0.0006440801631491781, 1731624627309651714, 
-0.004388394484302172, -0.004152006956793149, -0.0007114188450352687, 1731624627411067240, 
-0.0046435540976030865, -0.003443726972127692, -0.0008885525079123043, 1731624627520502563, 
-0.0047155243591539, -0.0010904329161724273, -0.0009502894295698423, 1731624627618441228, 
